koolhydraten,vet,kcal,product,eenheid
5,0,24 ,Aalbessen ,100 gr
5, 0, 24 ,Aardappelen ,100 gr
18.6, 0, 24 ,Aardappelkroket ,100 gr
28.2, 12, 356 ,Aardappelpuree ,100 gr
11, 5, 100 ,Aardappelsoesje ,100 gr
16.4, 11.2, 188 ,Aardappelzetmeel ,1 eetlepel
8, 0, 30 ,Aardbeien ,100 gr
5, 0, 24 ,Abrikozen ,1 stuk
3, 0, 10 ,Achterham ,100 gr
0, 6, 130 ,Advocaat ,1 glaasje
12, 2, 120 ,"All Bran, Kellog's ",100 gr
46, 1.8, 112 ,Amandelbroodje ,100 gr
43, 28.9, 463 ,Amandelen ,100 gr
4.3, 54.2, 578 ,"Ananas, Op Siroop ",100 gr
14.4, 0, 60 ,"Ananas, Vers ",100 gr
12, 0, 50 ,Ansjovis In Olie ,100 gr
0, 13, 189 ,Appel ,1 stuk
14, 0, 60 ,Appelbeignet ,1 stuk
6, 2, 50 ,Appelcarre ,1 stuk
42, 21, 370 ,Appelflap ,1 stuk
38, 26, 400 ,Appelmoes ,100 gr
19, 0, 76 ,Appelsap ,1 glas
8, 0, 35 ,Appelstroop ,1 eetlepel
11, 0, 44 ,Appeltaart ,100 gr
38.6, 7.2, 234 ,Artisjok ,100 gr
12.2, 0.1, 59 ,Asperges ,100 gr
3, 0, 16 ,Atjar Tjampoer ,1 eetlepel
2, 0, 10 ,Aubergine ,100 gr
5, 0, 24 ,"Augurken, Zoetzuur ",1 stuk
1, 0, 5 ,Avocado ,1 stuk
12, 18, 226 ,Babi Pangang ,100 gr
6.1, 22, 280 ,Bacon ,100 gr
0, 42, 430 ,Bakbokking ,100 gr
3, 26.2, 334 ,Bak- En Braadvet ,100 gr
0, 97.3, 876 ,Baklava ,100 gr
53.7, 22.7, 435 ,Balisto ,1 reep
27, 11, 223 ,Bambix ,100 gr
72, 2, 344 ,Bamboespruiten ,100 gr
6, 0, 32 ,Bamibal ,1 stuk
26, 12, 230 ,Bami Goreng ,100 gr
19, 5, 145 ,Banaan ,1 stuk
26, 0, 109 ,Banketbakkersroom ,100 gr
23.2, 4.1, 145 ,Barbecuesaus ,100 gr
22, 0, 92 ,Basterdsuiker ,100 gr
95, 0, 380 ,Bayonne-Ham ,100 gr
0.2, 18, 259 ,"Berehap, Bereklauw ",100 gr
9.4, 19.5, 252 ,Berenburg ,1 glaasje
0, 0, 65 ,Berlinerbol ,1 stuk
37, 8, 240 ,Beschuit ,1 stuk
7, 1, 40 ,Bessenjenever ,1 glaasje
6, 0, 65 ,Beukenootjes ,100 gr
33, 49, 560 ,Bichoc Delacre ,100 gr
72.5, 17.1, 465 ,Bieflap ,100 gr
0.8, 6, 168 ,Biefstuk ,100 gr
0, 3, 115 ,"Bier, Alcoholarm ",1 glas
10, 0, 50 ,"Bier, Oud Bruin ",1 glas
10, 0, 70 ,"Bier, Pils ",1 glas
6, 0, 85 ,"Bierworstje, Bifiwor ",100 gr
0.9, 35.8, 402 ,Bieslook ,100 gr
8, 1, 57 ,Bieten ,100 gr
3, 0, 20 ,Big Mac ,1 stuk
45, 32, 572 ,"Biogarde, Halfvol ",100 gr
4.7, 1.5, 50 ,"Biogarde, Mager ",100 gr
4, 0.1, 33 ,"Biogarde, Vol ",100 gr
3.5, 3.2, 56 ,Bisc & Bounty ,100 gr
55.9, 32.9, 539 ,Bisc & Mars ,100 gr
61.4, 28.5, 523 ,Bisc & Sickers ,100 gr
53, 32.5, 536 ,Bisc & Twix ,100 gr
61.6, 27.8, 518 ,Biscuit ,1 stuk
4, 1, 20 ,Bitterbal ,1 stuk
5, 4, 60 ,Bladerdeeg ,1 vel
16, 19, 240 ,Bleekselderij ,100 gr
4, 0, 24 ,Bleufort ,100 gr
1, 30, 354 ,Blinde Vink ,100 gr
1.2, 9.1, 189 ,Bloem ,100 gr
70, 1, 333 ,Bloemkool ,100 gr
3, 0, 20 ,Boerenkool ,100 gr
4, 1, 41 ,Boerenkoolstamppot ,100 gr
10.7, 3.9, 89 ,Boerenpaté ,100 gr
2.5, 26.4, 308 ,Bokkenpoot ,1 stuk
6, 2, 45 ,"Bokking, Gerookt ",100 gr
0, 16, 236 ,"Bokking, Gestoomd ",100 gr
0.5, 16.2, 233 ,Bonbon ,100 gr
62.8, 15.6, 409 ,Bonbon ,1 stuk
6, 3, 60 ,"Bonbon, Met Likeur ",100 gr
42.2, 18.9, 351 ,Borrelnootjes ,100 gr
45, 31, 518 ,"Borstplaat, Room- ",100 gr
72.2, 4.1, 328 ,"Borstplaat, Water- ",100 gr
95, 0, 380 ,"Bosbessen, Op Siroop ",100 gr
31, 0, 128 ,"Bosbessen, Vers ",100 gr
7.4, 0.5, 35 ,Bossche Bol ,1 stuk
17, 19, 250 ,Boter ,1 theelepel
0.1, 8.2, 75 ,"Boter, Gezouten ",100 gr
0, 84.2, 761 ,"Boter, Halfvol ",100 gr
0.3, 40.5, 390 ,Boterhamworst ,100 gr
3, 30, 335 ,Boterkoek ,100 gr
55, 31, 515 ,Boterletter ,100 gr
43, 28.9, 461 ,"Boter, Ongezouten ",100 gr
0.1, 82.5, 763 ,Bounty ,1 stuk
28, 15, 243 ,Bounty Mini ,1 stuk
9, 4, 70 ,Boursin ,100 gr
1, 41.5, 418 ,Braadharing ,100 gr
4, 15, 219 ,"Braadworst, Varkens- ",100 gr
0.9, 24, 308 ,Braambessen ,100 gr
7.2, 0.5, 38 ,Brado ,100 gr
0, 16, 236 ,Bramen ,100 gr
6, 1, 37 ,Bressot ,100 gr
