"id","bedrijf","perioden","p1","p2","p3_5","p5_10","p10_20","p20_50","p50_100","p100","p0_50","p0_250","natpers","rechtpers"
"195","301000 ","2007KW01","21025","32590","11890","4400","1950","745","130","55","72590","72765","65465","7310"
"196","301000 ","2007KW02","21640","32420","11780","4345","1905","750","130","55","72840","73020","65625","7405"
"197","301000 ","2007KW03","22395","30830","11600","4310","1900","720","130","50","71760","71930","64460","7480"
"198","301000 ","2007KW04","22325","30840","11605","4285","1875","710","120","55","71645","71815","64390","7430"
"199","301000 ","2008KW01","23195","30920","11600","4240","1865","710","120","50","72535","72700","65185","7520"
"200","301000 ","2008KW02","22915","30730","11495","4185","1850","705","120","45","71885","72045","64805","7245"
"201","301000 ","2008KW03","23500","30360","11410","4150","1820","700","120","45","71945","72100","64880","7225"
"202","301000 ","2008KW04","23515","30170","11400","4145","1825","705","120","45","71760","71920","64775","7150"
"203","301000 ","2009KW01","24015","29750","11275","4085","1800","685","115","45","71615","71770","64645","7130"
"204","301000 ","2009KW02","24230","29580","11225","3900","1720","690","105","50","71345","71495","64325","7175"
"205","301000 ","2009KW03","26430","29700","11510","3605","1340","490","70","45","73080","73185","65985","7210"
"206","301000 ","2009KW04","28485","29415","11330","3575","1450","525","75","45","74780","74895","67905","7000"
"207","301000 ","2010KW01","29860","25935","9835","3275","1460","605","90","50","70970","71100","65075","6035"
"208","301000 ","2010KW02","31080","25600","9740","3115","1225","480","65","50","71240","71350","65275","6085"
"209","301000 ","2010KW03","34125","25115","9400","2960","1155","455","75","45","73210","73320","67175","6155"
"210","301000 ","2010KW04","33530","24405","10030","3515","1395","540","95","50","73415","73550","67705","5855"
"211","301000 ","2011KW01","31905","22665","9600","3445","1515","520","90","40","69650","69770","64255","5530"
"212","301000 ","2011KW02","32030","22965","9780","3150","1200","455","70","40","69580","69680","64170","5515"
"213","301000 ","2011KW03","32300","22765","9795","3030","1185","450","80","35","69520","69625","64055","5580"
"214","301000 ","2011KW04","32005","22320","9955","3275","1330","545","90","40","69430","69550","64070","5490"
"215","301000 ","2012KW01","32055","21785","9650","3155","1450","585","90","40","68680","68795","63355","5450"
"216","301000 ","2012KW02","31835","21560","9555","3130","1435","585","90","35","68100","68215","62800","5425"
"217","301000 ","2012KW03","32645","21540","9525","2920","1165","525","90","35","68320","68430","62900","5540"
"218","301000 ","2012KW04","32415","21315","9475","3140","1290","505","85","35","68135","68245","62840","5415"
"219","301000 ","2013KW01","32585","21570","9520","3245","1380","520","85","40","68820","68935","63460","5485"
"220","301000 ","2013KW02","32945","21660","9590","3000","1160","445","65","40","68800","68900","63325","5585"
"221","301000 ","2013KW03","33250","21615","9605","2970","1145","430","70","40","69015","69115","63510","5615"
"222","301000 ","2013KW04","32920","21305","9585","3130","1280","480","80","40","68700","68815","63355","5470"
"223","301000 ","2014KW01","32835","21205","9505","3175","1375","490","75","45","68590","68700","63200","5510"
"224","301000 ","2014KW02","32630","21205","9645","3065","1155","460","65","45","68155","68255","62640","5630"
"225","301000 ","2014KW03","33040","21025","9535","3030","1140","460","75","45","68230","68340","62690","5660"
